,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
28,500068,DISA INDIA  ,B ,Q,15001.0,15398.0,14652.0,15076.8,15071.0,15280.0,31,60,903368.0,
29,500069,QUESTCAP    ,X ,Q,386.95,388.0,364.0,372.4,372.3,382.8,60,2362,880618.0,
30,500074,BPL LTD.    ,T ,Q,93.0,93.4,89.25,92.71,93.0,92.73,149,18826,1727845.0,
31,500078,OAL         ,B ,Q,422.0,422.0,400.7,403.7,405.4,416.1,242,1643,678129.0,
32,500083,CENTURY EXT ,B ,Q,22.94,24.42,22.64,24.42,24.42,22.2,295,99631,2399561.0,
33,500084,CESC LTD.   ,A ,Q,139.0,141.6,137.6,140.65,140.65,138.75,2898,310013,43287443.0,
34,500085,CHAMBAL FERT,A ,Q,383.0,389.3,380.5,383.65,383.65,380.2,6432,358674,137948308.0,
35,500086,EXIDE IND.  ,A ,Q,342.35,342.35,334.0,337.7,337.7,338.9,6463,259909,87601165.0,
36,500087,CIPLA LTD.  ,A ,Q,1329.75,1329.75,1301.0,1308.35,1308.35,1325.25,2200,28621,37462577.0,
37,500089,DIC INDIA   ,B ,Q,505.85,509.85,501.15,501.5,501.15,503.45,22,64,32250.0,
38,500092,CRISIL LTD  ,A ,Q,4105.85,4107.15,4078.1,4092.4,4091.45,4106.4,183,523,2138575.0,
39,500093,CGPOWER     ,A ,Q,466.2,466.95,459.0,460.45,460.45,463.65,3657,93717,43408605.0,
40,500096,DABUR (I)   ,A ,Q,552.0,553.0,548.0,549.55,549.55,552.2,3670,40723,22396290.0,
41,500097,DALMIASUG   ,B ,Q,408.0,408.0,400.05,402.6,402.6,402.65,259,3605,1456026.0,
42,500101,ARVIND Ltd  ,A ,Q,287.0,298.65,282.7,294.1,294.1,283.85,1563,42025,12175450.0,
43,500103,BHEL        ,A ,Q,198.25,199.15,195.6,196.4,196.4,197.75,19328,2074998,408896471.0,
44,500104,HIND.PETRO  ,A ,Q,447.15,453.35,438.5,450.1,450.1,445.3,6137,602278,269259240.0,
45,500106,IFCI LTD    ,A ,Q,29.92,31.94,29.76,30.95,30.95,29.81,17775,12525256,389802194.0,
46,500108,MAHA.TELE   ,B ,Q,35.38,35.38,34.53,34.69,34.69,35.14,2140,774190,27011816.0,
47,500109,MRPL        ,A ,Q,163.75,164.3,155.0,159.3,159.3,160.75,14082,1658450,266152893.0,
48,500110,CHENNAI PET.,A ,Q,848.0,849.0,824.35,835.35,835.35,857.85,5040,118191,98807396.0,
49,500112,STATE BANK  ,A ,Q,624.3,636.5,621.2,633.75,633.75,620.3,27570,1327491,837234376.0,
50,500113,STEEL AUTH. ,A ,Q,114.15,116.3,113.75,114.9,114.9,113.45,7509,884081,101733939.0,
51,500114,TITAN       ,A ,Q,3712.2,3735.95,3649.0,3724.2,3724.2,3698.85,12565,105435,390951824.0,
52,500116,IDBI BANK L ,A ,Q,67.09,69.45,67.06,68.81,68.81,66.79,3626,820911,56261293.0,
53,500117,DCW LTD.    ,B ,Q,65.97,65.97,63.7,64.05,64.05,65.46,5007,998182,64336354.0,
54,500119,DHAMPUR SUGA,A ,Q,270.85,271.0,266.55,267.5,267.3,268.5,1351,45343,12168293.0,
55,500120,DIAMINES&CHM,B ,Q,541.6,545.15,525.55,529.35,525.8,540.75,544,5159,2745552.0,
56,500123,ELANTAS     ,B ,Q,8229.05,8423.3,8111.1,8256.85,8274.9,8223.8,67,260,2143612.0,
57,500124,DR.REDDY'S  ,A ,Q,5740.0,5740.0,5647.6,5689.95,5689.95,5692.0,1075,4265,24205725.0,
58,500125,E.I.D.PAR   ,A ,Q,587.95,589.0,581.2,586.1,586.1,584.45,665,12994,7595648.0,
59,500126,PGHL        ,A ,Q,5141.45,5220.0,5100.1,5211.7,5211.7,5148.75,512,1830,9490485.0,
60,500128,ELEC.CASTING,A ,Q,127.3,129.3,125.35,125.8,126.0,126.2,2316,159564,20446188.0,
61,500133,ESAB INDIA  ,A ,Q,5720.6,5725.0,5690.05,5695.25,5690.05,5737.85,27,83,473586.0,
62,500135,EPL         ,A ,Q,199.0,200.75,196.65,196.9,197.45,198.5,1033,34284,6801063.0,
63,500136,ESTER INDUS.,B ,Q,97.0,106.53,95.35,102.27,103.6,96.71,2633,141202,14415680.0,
64,500142,FGP LTD.    ,X ,Q,8.17,8.17,8.17,8.17,8.17,8.6,19,2183,17835.0,
65,500143,P.H.CAPITAL ,X ,Q,105.5,107.0,100.0,100.25,100.25,103.05,48,1956,197869.0,
66,500144,FINOL. CABLE,A ,Q,1059.85,1079.05,1050.0,1054.45,1059.85,1042.8,867,9791,10416678.0,
67,500147,COCKERILL   ,B ,Q,3085.0,3159.95,3060.0,3103.05,3103.05,3032.95,538,7242,22539718.0,
68,500148,UFLEX LTD   ,A ,Q,476.0,487.4,475.4,480.0,478.25,474.95,1024,22515,10825416.0,
69,500150,FOSECO INDIA,B ,Q,3718.45,3729.25,3700.0,3706.85,3715.05,3714.0,57,123,456737.0,
70,500151,GOLDEN TOB  ,Z ,Q,56.03,58.12,56.03,58.12,58.12,55.36,92,8515,492447.0,
71,500153,GANESH BENZO,B ,Q,150.75,155.25,148.65,152.2,152.2,150.1,652,36927,5558177.0,
72,500159,METROGLOBL  ,X ,Q,149.0,153.5,145.1,147.7,147.7,148.55,163,11417,1711829.0,
73,500160,GTL LTD.    ,T ,Q,16.11,17.69,16.11,16.29,16.29,16.95,3888,2888543,47774472.0,
74,500163,GODFREY PH  ,A ,Q,2242.5,2247.7,2190.65,2198.65,2201.2,2230.05,847,4289,9498877.0,
75,500164,GODREJ IND  ,A ,Q,837.2,846.05,828.45,832.0,835.0,843.95,558,9416,7885387.0,
76,500165,KANSAI NERO ,A ,Q,340.15,342.95,331.6,340.35,331.6,338.8,406,10204,3477108.0,
77,500166,GOODRICKE   ,X ,Q,204.85,223.7,204.75,218.5,218.5,202.55,1484,127767,27605637.0,
78,500168,GOODYEAR (I),B ,Q,1283.5,1309.8,1283.5,1296.25,1298.95,1293.6,805,7694,9988117.0,
79,500170,GTN INDUS   ,XT,Q,51.0,51.0,48.11,49.11,49.75,50.16,188,27405,1356443.0,
80,500171,GHCL LTD    ,A ,Q,596.15,628.0,590.65,607.95,607.95,595.7,1517,32039,19582872.0,
81,500173,GFLLIMITED  ,B ,Q,99.99,99.99,98.1,98.78,98.9,98.28,82,5322,525637.0,
82,500174,GUJ.LEASE   ,B ,Q,6.64,6.64,6.64,6.64,6.64,6.33,6,2631,17469.0,
83,500179,HCL INFOSYS ,B ,Q,22.37,22.86,22.07,22.37,22.37,22.07,2408,571622,12886323.0,
84,500180,HDFC BANK   ,A ,Q,1650.05,1656.15,1633.55,1639.55,1639.55,1649.0,38244,798897,1313260737.0,
85,500182,HEROMOTOCO  ,A ,Q,4353.35,4394.95,4252.0,4384.15,4384.15,4339.9,2702,24679,107607516.0,
86,500183,HFCL        ,A ,Q,89.81,90.63,87.1,87.68,87.68,89.29,11202,1336349,118711060.0,
87,500184,HSCL        ,T ,Q,380.0,383.7,370.1,371.45,371.45,375.85,1098,40129,15022195.0,
88,500185,HIND.CONSTN.,A ,Q,35.06,35.3,33.43,33.63,33.63,34.87,6003,4554628,155780783.0,
89,500186,HIND.OIL EXP,A ,Q,172.7,185.0,171.55,180.5,180.5,170.6,6270,514681,93252707.0,
90,500187,AGI         ,A ,Q,884.55,884.55,861.0,868.75,868.5,869.35,460,3981,3452115.0,
91,500188,HINDUS.ZI   ,A ,Q,316.85,318.8,316.0,316.55,316.95,317.25,1125,29278,9281061.0,
92,500189,NDLVENTURE  ,B ,Q,148.2,148.2,142.75,143.4,144.0,146.9,92,1703,247589.0,
93,500191,HMT LTD.    ,Z ,Q,51.1,54.0,51.1,53.26,53.6,51.78,95,15260,807085.0,
94,500192,PRAG BOSIMI ,X ,Q,4.32,4.32,4.32,4.32,4.32,4.12,45,81010,349963.0,
95,500193,HLVLTD      ,B ,Q,31.0,31.46,30.52,30.6,30.52,30.33,1465,178546,5511245.0,
96,500199,I.G.PETRO   ,B ,Q,529.95,533.75,521.0,522.1,525.0,519.9,322,3767,1977355.0,
97,500201,IND.GLYCOLS ,B ,Q,924.45,924.45,901.0,903.15,908.0,906.3,457,5730,5191269.0,
98,500202,IND.LEAS.DEV,XT,Q,11.73,12.0,10.9,11.0,10.97,11.45,24,2072,24495.0,
99,500206,MARGO FIN   ,XT,Q,39.42,39.42,39.42,39.42,39.42,38.65,12,2047,80692.0,
100,500207,INDO RAMA   ,B ,Q,57.72,58.75,56.75,56.94,56.94,58.17,418,60429,3468173.0,
101,500209,INFOSYS LTD ,A ,Q,1556.0,1615.8,1554.75,1612.2,1612.2,1495.0,108851,3163133,5055757957.0,
102,500210,INGERSOLL   ,A ,Q,3180.85,3183.15,3133.45,3168.2,3168.2,3163.25,295,809,2555707.0,
103,500213,INTER.TRAVEL,X ,Q,723.9,730.0,636.05,636.05,636.05,706.7,2029,99195,67926634.0,
104,500214,ION EXCHANGE,A ,Q,576.9,576.9,556.85,558.65,558.0,567.6,2799,55696,31241976.0,
105,500215,AGRO TECH FO,B ,Q,869.85,869.85,853.1,860.05,853.4,863.1,112,292,251602.0,
106,500219,JAIN IRRIG  ,A ,Q,61.76,61.83,60.5,60.91,60.91,61.32,1760,275943,16926590.0,
107,500223,JCT LTD     ,X ,Q,3.15,3.3,3.13,3.27,3.27,3.17,1755,2821859,9050301.0,
108,500227,JINDAL POLYF,B ,Q,683.6,692.1,675.95,680.4,679.1,682.05,127,1033,703526.0,
109,500228,JSWSL       ,A ,Q,823.0,830.15,820.8,825.35,825.35,821.75,9571,173461,143070550.0,
110,500231,UMANG DAIR  ,B ,Q,76.0,79.9,74.76,77.86,77.27,76.29,151,4354,341651.0,
111,500233,KAJARIA CER.,A ,Q,1349.7,1403.55,1349.7,1398.95,1393.05,1373.7,1643,12296,17101014.0,
112,500234,KAKATIYA CEM,B ,Q,245.2,248.35,244.8,246.35,247.3,243.75,66,607,149199.0,
113,500235,KALYANI STEL,B ,Q,601.95,625.0,595.0,600.25,600.25,597.4,3200,64036,39211880.0,
114,500238,WHIRLPOOL   ,A ,Q,1355.0,1365.0,1350.95,1356.15,1356.0,1354.35,335,2006,2722730.0,
115,500239,KG DENIM    ,X ,Q,39.8,39.8,37.5,38.39,38.75,38.42,86,14831,572713.0,
116,500240,KINETIC ENG.,X ,Q,138.25,143.55,138.05,139.4,139.4,140.95,278,61272,8637976.0,
117,500241,KIRL.BROS.  ,A ,Q,920.0,934.1,915.85,929.55,928.1,918.35,416,2778,2568893.0,
118,500243,KIRL INDUS  ,B ,Q,3700.0,3845.45,3691.85,3832.85,3832.85,3713.1,394,1112,4181155.0,
119,500245,KIRL.FERROUS,A ,Q,543.45,555.0,535.7,543.4,543.4,542.45,1173,51366,27879082.0,
120,500246,ENVAIN ELECT,XT,Q,172.6,172.65,172.6,172.65,172.65,169.3,6,385,66469.0,
121,500247,KOTAK MAH.BK,A ,Q,1822.15,1842.95,1814.5,1832.8,1832.8,1821.8,11194,214488,392964813.0,
122,500249,KSB         ,A ,Q,3473.3,3564.0,3473.3,3488.1,3485.65,3427.9,748,1838,6465701.0,
123,500250,L.G.BALKRISH,A ,Q,1301.45,1409.4,1300.0,1359.95,1367.25,1316.55,894,9598,13127104.0,
124,500251,TRENT LTD.  ,A ,Q,3200.0,3240.85,3163.5,3212.75,3212.75,3174.5,1766,8136,26059544.0,
125,500252,LAXMIMACH   ,A ,Q,13962.95,14039.95,13740.75,13784.5,13784.5,13937.05,195,347,4795458.0,
126,500253,LIC HOUS.FIN,A ,Q,579.6,581.55,571.6,573.4,573.4,577.85,1294,36491,21009576.0,
127,500257,LUPIN LTD.  ,A ,Q,1400.45,1402.9,1389.75,1398.45,1397.0,1399.25,604,7846,10958497.0,
128,500259,LYKA LABS   ,T ,Q,128.9,132.0,125.7,127.5,127.8,125.8,75,7757,1001344.0,
129,500260,RAMCOCEM    ,A ,Q,988.85,997.4,982.9,993.25,988.2,988.95,823,8207,8136653.0,
130,500262,HYBRIDFIN   ,T ,Q,10.02,10.02,10.02,10.02,10.02,10.03,7,445,4458.0,
131,500264,MAFATLAL IND,X ,Q,140.35,145.0,140.2,143.35,143.35,140.1,184,29649,4220074.0,
132,500265,MAH.SEAMLESS,A ,Q,957.0,972.0,943.45,957.8,956.95,956.05,1109,15445,14871094.0,
133,500266,MAH.SCOOTER ,A ,Q,7636.65,7922.9,7636.65,7854.7,7854.7,7622.6,521,1555,12232500.0,
134,500267,MAJESTIC AUT,XT,Q,269.95,269.95,260.0,260.4,260.0,263.0,113,9350,2457101.0,
135,500268,MANALI PETRO,B ,Q,86.98,86.98,83.71,84.11,83.85,86.19,2628,288081,24383379.0,
136,500270,BARODA RAYON,X ,Q,200.0,200.0,196.6,198.55,198.5,197.95,154,3131,620473.0,
137,500271,MFSL        ,A ,Q,950.15,952.0,932.0,937.6,937.0,949.5,1052,14284,13438089.0,
138,500277,MID INDIA IN,XT,Q,8.85,8.85,8.04,8.3,8.68,8.46,79,16488,136237.0,
139,500279,MIRC ELECT  ,T ,Q,16.15,16.22,16.15,16.2,16.2,16.44,50,40238,651412.0,
140,500280,CENTURY ENKA,B ,Q,488.95,488.95,476.0,477.55,477.0,483.2,478,6701,3207515.0,
141,500284,LORDS CHLORO,B ,Q,149.35,158.5,149.0,156.95,157.8,148.95,721,17179,2636043.0,
142,500285,SPICEJET LTD,B ,Q,67.3,67.35,65.0,65.31,65.31,66.57,18836,5171580,341143262.0,
143,500288,MOREPEN LAB.,A ,Q,49.61,50.15,49.0,49.37,49.24,49.19,2161,369553,18322160.0,
144,500290,MRF LTD.    ,A ,Q,133400.0,134599.85,132773.55,134284.3,134284.3,133464.9,283,357,47803576.0,
145,500292,HEIDEL CEM  ,A ,Q,231.9,232.55,227.2,229.45,229.35,230.75,575,17337,3992694.0,
146,500294,NCC         ,A ,Q,197.8,199.85,194.35,196.45,196.45,196.55,7825,725201,142798819.0,
147,500295,VEDL        ,A ,Q,274.6,274.85,270.2,272.4,272.4,274.6,15708,3238310,884222137.0,
148,500296,NAHAR SPG.  ,B ,Q,286.05,288.95,278.5,282.25,283.55,283.3,413,7195,2054217.0,
149,500298,NAT.PEROXIDE,X ,Q,1063.9,1065.9,1043.55,1056.55,1056.55,1057.85,333,7684,8104640.0,
150,500300,GRASIM IND. ,A ,Q,2085.0,2120.1,2077.45,2111.7,2115.85,2082.85,993,7856,16496142.0,
151,500302,PEL         ,A ,Q,949.75,949.75,930.0,932.3,932.3,940.85,2810,932340,873587072.0,
152,500304,NIIT LTD.   ,A ,Q,116.85,124.95,115.05,120.15,120.15,114.95,5046,399332,48776637.0,
153,500306,JAYKAY      ,X ,Q,149.0,151.0,144.2,149.95,149.95,143.85,1679,485523,72620871.0,
154,500307,NIRLON      ,B ,Q,408.0,415.45,408.0,412.25,412.25,411.25,237,4723,1944309.0,
155,500312,ONGC CORPN  ,A ,Q,213.95,224.7,212.4,223.35,223.35,211.75,13625,1552023,341005720.0,
156,500313,OIL COUNTRY ,T ,Q,48.0,49.04,47.15,49.04,49.04,46.71,543,127974,6243162.0,
157,500314,ORIENT HOTEL,B ,Q,127.45,130.7,126.65,128.15,128.4,126.7,725,35251,4519672.0,
158,500317,OSWAL AGRO. ,B ,Q,38.12,38.84,37.4,37.7,37.6,38.03,721,40784,1548713.0,
159,500319,INDIAN SUCRO,X ,Q,81.45,81.45,79.5,80.04,80.04,81.02,116,11894,957741.0,
160,500322,PANYAM CEMEN,XT,Q,97.71,97.71,97.71,97.71,97.71,95.8,5,219,21398.0,
161,500325,RELIANCE    ,A ,Q,2718.4,2746.45,2691.55,2740.1,2740.1,2718.4,30221,606506,1659089968.0,
162,500327,PILITA      ,B ,Q,14.0,14.17,13.8,14.05,14.0,13.99,543,103173,1440441.0,
163,500330,RAYMOND     ,A ,Q,1746.8,1752.5,1731.35,1739.8,1740.25,1738.0,467,4953,8616461.0,
164,500331,PIDILITE    ,A ,Q,2740.15,2752.05,2710.0,2732.7,2732.7,2740.75,2480,14546,39754817.0,
165,500333,PIX TRANS   ,B ,Q,1321.8,1355.0,1252.0,1294.85,1291.55,1296.2,150,5295,6789335.0,
166,500335,BIRLA CORPN.,A ,Q,1440.95,1448.25,1420.15,1432.95,1425.8,1440.8,1105,8127,11606010.0,
167,500336,SURYA ROSHNI,B ,Q,827.2,827.2,795.5,805.0,806.1,819.7,1269,13724,11089447.0,
168,500337,PRIME SECUR.,B ,Q,183.2,185.0,176.9,180.75,185.0,183.65,391,3933,708367.0,
169,500338,PRSMJOHNSN  ,A ,Q,182.7,187.9,180.6,186.65,186.5,181.5,1551,75610,14030661.0,
170,500339,RAIN        ,A ,Q,150.8,153.9,148.7,150.05,150.05,150.0,11382,319092,48585813.0,
171,500342,PRUDENT.SUGA,T ,Q,38.0,39.0,37.0,37.07,37.0,38.11,22,4581,170542.0,
172,500343,AMJLAND     ,B ,Q,41.8,42.8,41.5,41.87,41.66,42.57,180,25763,1083255.0,
173,500346,PUN.COMMUNI.,B ,Q,51.98,54.25,51.03,51.6,51.03,50.99,184,18461,966987.0,
174,500350,RSWM  LTD   ,B ,Q,229.55,230.0,222.35,223.55,222.65,229.55,281,19293,4382394.0,
175,500354,RAJSH.SUGAR ,B ,Q,70.27,71.84,69.16,71.14,70.9,70.11,598,27118,1913818.0,
176,500355,RALLIS INDIA,A ,Q,260.75,260.75,255.2,257.0,257.7,259.15,1261,50250,12934226.0,
177,500356,RAMANEWS    ,B ,Q,19.93,20.19,19.23,19.33,19.33,19.71,534,73439,1451829.0,
178,500357,RAMA PAPER  ,XT,Q,20.5,21.7,20.25,21.23,21.24,20.85,40,14609,299514.0,
179,500360,RAPICUT CARB,X ,Q,78.85,78.85,73.5,73.86,75.5,77.3,76,3514,262042.0,
180,500365,WELSPLSOL   ,B ,Q,42.96,42.96,41.4,42.26,42.26,40.92,2011,1289473,54766673.0,
181,500367,RUBFILA INT.,X ,Q,84.95,85.35,83.0,83.5,83.5,83.69,468,57722,4856368.0,
182,500368,PATANJALI   ,A ,Q,1646.5,1672.95,1633.5,1639.5,1639.5,1646.5,1030,10865,17939818.0,
183,500370,SALORA INT. ,XT,Q,60.0,60.0,57.86,58.55,59.9,60.9,59,7457,434812.0,
184,500378,JINDAL SAW  ,A ,Q,492.0,497.5,483.8,488.85,488.85,490.15,3458,126877,62461483.0,
185,500380,JK LAKSHMI  ,A ,Q,890.15,904.0,869.05,870.3,870.3,880.0,1873,25686,22624428.0,
186,500387,SHREE CEMENT,A ,Q,26803.65,27069.55,26795.05,26886.1,26877.45,26889.7,203,332,8917486.0,
187,500388,SHREE KRISHN,XT,Q,46.75,47.5,44.42,47.5,47.5,46.75,10,1719,76590.0,
188,500390,REL INFRA   ,A ,Q,240.0,242.25,236.5,238.55,238.55,239.3,2222,182406,43686354.0,
189,500400,TATA POWER  ,A ,Q,361.95,361.95,356.6,357.65,357.65,357.25,16128,1253885,450253193.0,
190,500402,SPMLINFRA   ,T ,Q,114.32,114.6,103.7,113.81,114.0,109.15,156,65585,7270467.0,
191,500403,SUNDARAM FAS,A ,Q,1272.0,1276.0,1240.5,1255.2,1256.6,1270.35,484,4615,5788461.0,
192,500404,SUNFLAG IRON,A ,Q,217.05,224.9,214.25,216.35,216.35,216.95,1529,51683,11334748.0,
193,500405,SUPREME PET ,A ,Q,554.95,560.4,551.1,556.85,558.6,558.85,236,3722,2075638.0,
194,500407,SWARAJ ENGIN,B ,Q,2353.05,2458.45,2353.05,2417.0,2417.0,2402.05,202,782,1888175.0,
195,500408,TATA ELXSI  ,A ,Q,8741.65,8948.4,8711.8,8731.3,8731.3,8715.2,1635,7164,63105882.0,
196,500410,ACC LTD     ,A ,Q,2319.1,2347.95,2319.1,2331.2,2336.0,2319.65,599,7415,17317639.0,
197,500411,THERMAX     ,A ,Q,3213.8,3260.8,3200.0,3210.6,3204.0,3205.15,481,1756,5673164.0,
198,500412,THIRUMALAI  ,A ,Q,243.2,245.75,238.0,239.2,238.85,241.2,1620,56809,13709385.0,
199,500413,THOMAS COOK ,B ,Q,168.25,174.4,166.0,171.7,171.7,166.5,4090,288726,49550148.0,
200,500414,TIMEX GROUP ,T ,Q,167.4,167.4,161.0,163.95,163.5,164.45,179,18371,3013204.0,
201,500418,TOKYO PLAST ,B ,Q,118.85,120.1,118.85,119.55,119.75,118.85,488,3172,379167.0,
202,500420,TORRENT PHAR,A ,Q,2475.0,2477.25,2445.75,2468.35,2467.45,2468.4,841,4254,10472750.0,
203,500422,TRANSCHEM   ,X ,Q,29.98,29.98,28.3,28.57,28.3,28.5,53,6431,186057.0,
204,500425,AMBUJA CEME ,A ,Q,540.4,544.8,531.45,532.4,532.4,538.15,2090,84821,45527345.0,
205,500426,UTLINDS     ,XT,Q,2.32,2.33,2.32,2.33,2.33,2.36,63,44045,102301.0,
206,500429,UNIPHOS ENT.,B ,Q,165.95,165.95,160.55,164.0,163.8,166.45,191,4691,769625.0,
207,500439,VARD HOLDNG ,B ,Q,3369.4,3369.4,3326.25,3327.35,3326.25,3369.0,24,44,147131.0,
208,500440,HINDALCO    ,A ,Q,581.75,585.2,576.0,581.45,581.45,577.0,3201,129704,75462086.0,
209,500444,WEST COAS PA,A ,Q,700.05,714.55,699.2,701.35,702.35,707.1,847,11439,8067830.0,
210,500449,HIND.ORG.CHM,T ,Q,58.0,58.0,54.75,57.38,57.38,57.0,1133,341284,19411131.0,
211,500450,MPIL CORP L ,XT,Q,882.85,975.75,882.85,882.85,882.85,929.3,20,100,88470.0,
212,500456,PAS.ACRYLON ,B ,Q,40.61,46.5,40.0,44.89,44.89,40.61,1559,222340,9938559.0,
213,500458,KORE        ,XT,Q,8.3,8.48,8.05,8.2,8.2,8.32,55,12417,104222.0,
214,500459,PROCTER &GAM,A ,Q,17119.9,17250.0,17000.05,17185.15,17000.05,17184.7,143,271,4660640.0,
215,500460,MUKAND LTD. ,B ,Q,194.0,194.0,189.45,190.0,190.0,192.15,1056,32002,6104970.0,
216,500463,BBOX        ,T ,Q,286.5,294.3,286.5,294.3,294.3,280.3,63,2269,660897.0,
217,500464,UCAL        ,B ,Q,152.0,164.05,149.5,162.7,162.7,149.15,1414,37412,6097775.0,
218,500467,HARR.MALAYAL,T ,Q,170.2,174.85,170.05,173.9,174.85,170.0,55,4246,734514.0,
219,500469,FEDERAL BANK,A ,Q,151.1,151.8,150.1,151.25,151.25,150.3,4987,477556,72181114.0,
220,500470,TATA STEEL  ,A ,Q,135.95,136.2,134.65,135.3,135.3,134.9,46061,4618358,626760561.0,
221,500472,SKF INDIA   ,A ,Q,4572.3,4612.0,4545.0,4576.35,4572.15,4551.1,151,415,1903619.0,
222,500477,ASHOK LEYL. ,A ,Q,177.05,177.4,175.5,176.65,176.65,176.55,3074,273384,48208863.0,
223,500480,CUMMINS (I) ,A ,Q,2027.9,2054.75,2016.25,2047.95,2047.95,2030.5,701,3593,7307461.0,
224,500483,TATA COMM   ,A ,Q,1714.65,1775.0,1714.65,1745.9,1744.0,1714.5,3983,50412,87918249.0,
225,500488,ABBOTT (I)  ,A ,Q,25363.55,25852.0,25195.9,25721.4,25750.0,25340.85,818,1474,37736121.0,
226,500490,BAJ HOLD INV,A ,Q,8149.85,8149.85,8024.7,8047.45,8067.0,8009.5,191,352,2840303.0,
227,500493,BHARAT FORGE,A ,Q,1274.85,1274.85,1234.0,1253.7,1253.7,1275.9,3756,52901,66076531.0,
228,500495,ESCORTS     ,A ,Q,2865.0,2889.95,2853.05,2876.35,2878.0,2864.3,2389,21015,60451925.0,
229,500500,HIND.MOTORS ,B ,Q,17.0,17.0,16.8,16.86,16.86,16.89,993,174140,2942740.0,
230,500510,LARSEN & TOU,A ,Q,3519.8,3575.75,3494.85,3565.95,3565.95,3505.2,21036,234995,833418526.0,
231,500520,MAH & MAH   ,A ,Q,1635.85,1635.85,1601.1,1622.85,1622.85,1629.8,19288,267468,432727417.0,
232,500530,BOSCH LTD   ,A ,Q,23084.85,23250.9,22968.3,23234.2,23234.2,23085.85,408,671,15514592.0,
